B,E,N,Band
0.0,-3.1786527390644364e-21,0.0,0.0
0.16161616161616163,-3.1770976622679713e-21,0.0,0.0
0.32323232323232326,-3.1755425854715058e-21,0.0,0.0
0.48484848484848486,-3.1739875086750406e-21,0.0,0.0
0.6464646464646465,-3.1724324318785754e-21,0.0,0.0
0.8080808080808082,-3.17087735508211e-21,0.0,0.0
0.9696969696969697,-3.1693222782856448e-21,0.0,0.0
1.1313131313131315,-3.1677672014891796e-21,0.0,0.0
1.292929292929293,-3.166212124692714e-21,0.0,0.0
1.4545454545454546,-3.164657047896249e-21,0.0,0.0
1.6161616161616164,-3.1631019710997838e-21,0.0,0.0
1.777777777777778,-3.1615468943033183e-21,0.0,0.0
1.9393939393939394,-3.159991817506853e-21,0.0,0.0
2.101010101010101,-3.158436740710388e-21,0.0,0.0
2.262626262626263,-3.1568816639139224e-21,0.0,0.0
2.4242424242424243,-3.1553265871174573e-21,0.0,0.0
2.585858585858586,-3.1537715103209918e-21,0.0,0.0
2.747474747474748,-3.1522164335245266e-21,0.0,0.0
2.909090909090909,-3.1506613567280615e-21,0.0,0.0
3.070707070707071,-3.149106279931596e-21,0.0,0.0
3.2323232323232327,-3.1475512031351308e-21,0.0,0.0
3.393939393939394,-3.1459961263386656e-21,0.0,0.0
3.555555555555556,-3.1444410495422e-21,0.0,0.0
3.7171717171717176,-3.142885972745735e-21,0.0,0.0
3.878787878787879,-3.1413308959492698e-21,0.0,0.0
4.040404040404041,-3.1397758191528043e-21,0.0,0.0
4.202020202020202,-3.138220742356339e-21,0.0,0.0
4.363636363636364,-3.136665665559874e-21,0.0,0.0
4.525252525252526,-3.1351105887634084e-21,0.0,0.0
4.686868686868687,-3.1335555119669433e-21,0.0,0.0
4.848484848484849,-3.132000435170478e-21,0.0,0.0
5.01010101010101,-3.1304453583740126e-21,0.0,0.0
5.171717171717172,-3.1288902815775475e-21,0.0,0.0
5.333333333333334,-3.1273352047810823e-21,0.0,0.0
5.494949494949496,-3.1257801279846168e-21,0.0,0.0
5.6565656565656575,-3.1242250511881516e-21,0.0,0.0
5.818181818181818,-3.1226699743916865e-21,0.0,0.0
5.97979797979798,-3.121114897595221e-21,0.0,0.0
6.141414141414142,-3.1195598207987558e-21,0.0,0.0
6.303030303030304,-3.1180047440022907e-21,0.0,0.0
6.464646464646465,-3.116449667205825e-21,0.0,0.0
6.626262626262627,-3.11489459040936e-21,0.0,0.0
6.787878787878788,-3.113339513612895e-21,0.0,0.0
6.94949494949495,-3.1117844368164293e-21,0.0,0.0
7.111111111111112,-3.110229360019964e-21,0.0,0.0
7.272727272727273,-3.1086742832234986e-21,0.0,0.0
7.434343434343435,-3.1071192064270335e-21,0.0,0.0
7.595959595959597,-3.1055641296305683e-21,0.0,0.0
7.757575757575758,-3.104009052834103e-21,0.0,0.0
7.91919191919192,-3.1024539760376376e-21,0.0,0.0
8.080808080808081,-3.1008988992411725e-21,0.0,0.0
8.242424242424244,-3.099343822444707e-21,0.0,0.0
8.404040404040405,-3.097788745648242e-21,0.0,0.0
8.565656565656566,-3.0962336688517767e-21,0.0,0.0
8.727272727272728,-3.094678592055311e-21,0.0,0.0
8.88888888888889,-3.093123515258846e-21,0.0,0.0
9.050505050505052,-3.091568438462381e-21,0.0,0.0
9.212121212121213,-3.0900133616659153e-21,0.0,0.0
9.373737373737374,-3.08845828486945e-21,0.0,0.0
9.535353535353536,-3.086903208072985e-21,0.0,0.0
9.696969696969697,-3.0853481312765195e-21,0.0,0.0
9.85858585858586,-3.0837930544800543e-21,0.0,0.0
10.02020202020202,-3.082237977683589e-21,0.0,0.0
10.181818181818183,-3.0806829008871237e-21,0.0,0.0
10.343434343434344,-3.0791278240906585e-21,0.0,0.0
10.505050505050505,-3.0775727472941933e-21,0.0,0.0
10.666666666666668,-3.076017670497728e-21,0.0,0.0
10.828282828282829,-3.0744625937012627e-21,0.0,0.0
