B,den,N,Band,System([band density])
2.2203389830508478,-3042777309501264.0,2,0,1.080000e+15 1.950000e+15
5.576271186440678,-3022596096161425.5,1,1,1.080000e+15 1.950000e+15
3.0338983050847457,-3030200769626764.5,2,1,1.080000e+15 1.950000e+15
3.440677966101695,-3006402346441581.0,1,0,1.050000e+15 1.950000e+15
1.6101694915254239,-3005709361175539.0,3,0,1.050000e+15 1.950000e+15
2.2203389830508478,-3042777309501264.0,2,0,1.080000e+15 1.950000e+15
5.576271186440678,-3022596096161425.5,1,1,1.080000e+15 1.950000e+15
3.0338983050847457,-3030200769626764.5,2,1,1.080000e+15 1.950000e+15
3.440677966101695,-3006402346441581.0,1,0,1.050000e+15 1.950000e+15
1.6101694915254239,-3005709361175539.0,3,0,1.050000e+15 1.950000e+15
2.016949152542373,-2963751226834165.0,3,1,1.030000e+15 1.950000e+15
2.016949152542373,-2961564236563689.0,3,1,1.010000e+15 1.950000e+15
5.474576271186441,-2930397809486340.0,1,1,9.910000e+14 1.950000e+15
1.5084745762711864,-2928481676029448.0,4,1,9.910000e+14 1.950000e+15
3.3389830508474576,-2913510741808746.5,1,0,9.700000e+14 1.950000e+15
5.474576271186441,-2929691915370331.0,1,1,9.700000e+14 1.950000e+15
1.5084745762711864,-2926323031394790.0,4,1,9.700000e+14 1.950000e+15
2.1186440677966103,-2900050095175569.0,2,0,9.490000e+14 1.950000e+15
1.0,-2884634480644872.0,5,0,9.490000e+14 1.950000e+15
2.9322033898305087,-2881931944032565.5,2,1,9.490000e+14 1.950000e+15
1.2033898305084745,-2896757113100498.0,5,1,9.490000e+14 1.950000e+15
1.2033898305084745,-2868416313669435.5,4,0,9.280000e+14 1.950000e+15
1.0,-2886884873959607.0,5,0,9.280000e+14 1.950000e+15
2.9322033898305087,-2879677360677607.5,2,1,9.280000e+14 1.950000e+15
1.2033898305084745,-2894640864398396.0,5,1,9.280000e+14 1.950000e+15
1.0,-2872539265274468.0,6,1,9.280000e+14 1.950000e+15
1.2033898305084745,-2870710667536912.0,4,0,9.070000e+14 1.950000e+15
1.0,-2870424944353798.5,6,1,9.070000e+14 1.950000e+15
1.5084745762711864,-2837903146189261.0,3,0,8.860000e+14 1.950000e+15
5.372881355932203,-2836326785644229.0,1,1,8.860000e+14 1.950000e+15
3.2372881355932206,-2818111917826014.5,1,0,8.650000e+14 1.950000e+15
1.9152542372881356,-2792355280173684.5,3,1,8.440000e+14 1.950000e+15
2.016949152542373,-2769457919785313.0,2,0,8.230000e+14 1.950000e+15
1.9152542372881356,-2790092588328349.5,3,1,8.230000e+14 1.950000e+15
5.271186440677966,-2742204613619959.0,1,1,8.020000e+14 1.950000e+15
2.830508474576271,-2741147299127738.0,2,1,8.020000e+14 1.950000e+15
3.135593220338983,-2714760114246100.0,1,0,7.810000e+14 1.950000e+15
5.271186440677966,-2741348920731385.0,1,1,7.810000e+14 1.950000e+15
2.830508474576271,-2738679259898163.0,2,1,7.810000e+14 1.950000e+15
3.135593220338983,-2717983871613615.5,1,0,7.600000e+14 1.950000e+15
1.6101694915254239,-2655091209115670.0,3,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.0,-2651303733506659.0,5,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
2.830508474576271,-2663188725275295.0,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
2.830508474576271,-2663188725275295.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.864406779661017,-2603993903019278.5,1,0,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.7288135593220337,-2598426837892386.0,2,0,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.3559322033898304,-2542241472308261.0,2,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.7118644067796611,-2526916470183517.5,4,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
5.372881355932203,-2473964271370842.0,1,0,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.7288135593220337,-2461805622720774.5,2,0,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.4237288135593222,-2475249155018408.5,3,1,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
4.559322033898305,-2421285162054927.5,2,1,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.3220338983050848,-2367398687481802.5,3,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.6101694915254239,-2353923832270293.0,4,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.0,-2383127588598936.0,6,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
5.372881355932203,-2318686720221270.0,1,0,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.5254237288135597,-2331335633546651.5,2,0,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
4.4576271186440675,-2342553118851740.0,2,1,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
1.2033898305084745,-2313426223087807.5,5,1,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.4237288135593222,-2265152563179247.5,2,0,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
4.3559322033898304,-2296850224036643.0,2,1,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
5.271186440677966,-2237371212443608.0,1,0,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.2203389830508478,-2241941474038984.5,3,1,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.3220338983050848,-2180873823348217.5,2,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.5084745762711864,-2176231654692841.0,3,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
4.050847457627119,-2173007492657608.5,2,1,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.5084745762711864,-2202105656974375.0,4,1,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
5.169491525423729,-2158693387787065.5,1,0,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
